CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY
Atelier graphique,40.32.2555,"54, rue Royale",,Nantes,,44000,France
Mini Caravy,88.60.1555,"24, place Kluber",,Strasbourg,,67000,France
Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA
Signal Gift Stores,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA
"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland
"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany
Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France
Signal Collectibles Ltd.,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA
"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia
Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA
Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",,Charleroi,,B-6000,Belgium
"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",,Sevilla,,41101,Spain
Diecast Collectables,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA
Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA
"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany
Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland
"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia
Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France
Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France
Microscale Inc.,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA
Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA
Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France
"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK
"Volvo Model Replicas, Co",0921-12 3555,Berguvsv�gen  8,,Lule,,S-958 22,Sweden
Heintze Collectables,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark
Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA
Boards & Toys Co.,3105552373,4097 Douglas Av.,,Glendale,CA,92561,USA
Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway
Mini Auto Werke,7675-3555,Kirchgasse 6,,Graz,,8010,Austria
Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore
Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA
Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France
Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada
Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA
"La Corne D'abondance, Co.",(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France
"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain
Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA
Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway
Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA
Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA
"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland
Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA
FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA
West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA
"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
Online Mini Collectables,6175557555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA
Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA
Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines
Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan
"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway
Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA
Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA
L'ordine Souveniers,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy
Rovelli Gifts,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy
Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria
Gift Ideas Corp.,2035554407,2440 Pompton St.,,Glendale,CT,97561,USA
"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland
"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,,London,,WA1 1DP,UK
"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,,Los Angeles,CA,,USA
Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA
Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA
"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Hansastr. 15,,Munich,,80686,Germany
"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA
"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan
Auto-Moto Classics Inc.,6175558428,16780 Pompton St.,,Brickhaven,MA,58339,USA
Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia
Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France
